method,query_kind,adapters,predicted_score,heldout_score,feasible,predicted_weights,heldout_weights,coefficient_regret,margins,obstructing_tasks,certificate_type,grid_points,primal_upper,dual_lower,certificate_gap,dual_weights,certificate_message,psd_projected,quadratic_min_eigenvalue,quadratic_psd_adjustment,error,slice_id
dare_linear,pair,lhong4759_f68c5c87_934d_4399_b+tuanna08go_6af2bb68_a65f_4331,14.905205499776184,-0.1,1,"[0.4681862916228865, 0.5318137083771135]","[0.2, 0.8]",22.025953102111785,"{""lhong4759_f68c5c87_934d_4399_b"": 19.997116851806673, ""tuanna08go_6af2bb68_a65f_4331"": 0.1}",tuanna08go_6af2bb68_a65f_4331,continuous_primal_dual_psd,4,14.905205499776184,14.905205499776184,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,201.10353827476493,0.0,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
dare_linear,pair,versil91_e9f26c47_9b78_4e3f_81+cunghoctienganh_b7496e73_1762,-2.016668925960829,3.910234642028776,0,"[0.6384355220966224, 0.36156447790337765]","[0.8, 0.2]",2.215909957885742,"{""cunghoctienganh_b7496e73_1762"": -3.910234642028776, ""versil91_e9f26c47_9b78_4e3f_81"": 1.6333358764648551}",cunghoctienganh_b7496e73_1762,continuous_primal_dual_psd,4,-2.016668925960829,-2.016668925960829,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,190.72442556935468,0.0,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
dare_linear,pair,chauhoang_2aa4f343_5524_f86e_b+mrhungddddh_911f6275_22fd_4f41,20.983164183756177,29.97083969116208,0,"[0.3014507236018523, 0.6985492763981477]","[0.4, 0.6]",0.0,"{""chauhoang_2aa4f343_5524_f86e_b"": -29.970839691162077, ""mrhungddddh_911f6275_22fd_4f41"": -23.09582538604733}",chauhoang_2aa4f343_5524_f86e_b,continuous_primal_dual_psd,4,20.983164183756177,20.983164183756134,3.907985046680551e-14,"[0.45891272098583186, 0.5410872790141681]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,184.08551812171933,0.0,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
dare_linear,pair,versil91_01a5620a_fb5f_4bab_94+mrhungddddh_9b1deaac_4565_48f2,3.0825997146306463,5.5396426166459625,0,"[0.688884441104262, 0.31111555889573805]","[0.4, 0.6]",6.025747684104737,"{""mrhungddddh_9b1deaac_4565_48f2"": -1.8298179626464517, ""versil91_01a5620a_fb5f_4bab_94"": -5.5396426166459625}",versil91_01a5620a_fb5f_4bab_94,continuous_primal_dual_psd,4,3.0825997146306463,3.0825997146306463,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,158.69567786363612,0.0,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
dare_linear,pair,tuanna08go_c1cf0152_7ae6_43b6+phungkhaccuong_a992b7f5_9d18_c,13.369020295143129,3.5125047683715493,0,"[0.7999999999999996, 0.2000000000000004]","[0.8, 0.2]",0.0,"{""phungkhaccuong_a992b7f5_9d18_c"": -3.5125047683715493, ""tuanna08go_c1cf0152_7ae6_43b6"": 3.007754611969027}",phungkhaccuong_a992b7f5_9d18_c,continuous_primal_dual_psd,4,13.369020295143129,13.369020295143129,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,1,-23.83843064308174,23.83843064308174,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
dare_linear,pair,thaffggg_8a78a9b2_d3fa_4615_b8+cunghoctienganh_c1cf0152_7ae6,5.225179785086809,7.887497615814176,0,"[0.29105957079391154, 0.7089404292060885]","[0.2, 0.8]",0.0,"{""cunghoctienganh_c1cf0152_7ae6"": -3.2000095367431314, ""thaffggg_8a78a9b2_d3fa_4615_b8"": -7.887497615814176}",thaffggg_8a78a9b2_d3fa_4615_b8,continuous_primal_dual_psd,4,5.225179785086809,5.225179785086805,3.552713678800501e-15,"[0.3872495209591129, 0.6127504790408872]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,156.58717768998767,0.0,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
dare_linear,pair,nhoxinh_0c66c9c5_5cc2_46a8_9db+mrhunghddddd_d692685b_fdb4_477,74.64709110260011,11.877873611450164,0,"[0.2, 0.8]","[0.8, 0.2]",26.322126388549805,"{""mrhunghddddd_d692685b_fdb4_477"": -5.908337306976286, ""nhoxinh_0c66c9c5_5cc2_46a8_9db"": -11.877873611450163}",nhoxinh_0c66c9c5_5cc2_46a8_9db,continuous_primal_dual_psd,4,74.64709110260011,74.64709110260011,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,1,-496.3307082653045,496.3307082653045,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
dare_linear,pair,nhung02_db2c9545_4607_487b_9cc+adammandic87_f28f18cf_4abb_4db,11.32781691551201,13.455703926086391,0,"[0.2, 0.8]","[0.2, 0.8]",0.0,"{""adammandic87_f28f18cf_4abb_4db"": -10.595110130310026, ""nhung02_db2c9545_4607_487b_9cc"": -13.455703926086393}",nhung02_db2c9545_4607_487b_9cc,continuous_primal_dual_psd,4,11.32781691551201,11.32781691551201,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,447.9168355464933,0.0,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
dare_linear,pair,nbninh_a1f78795_1b61_4923_9235+datlaaaaaaa_0dbe42c8_b07b_4785,39.34608435494848,62.66968555450436,0,"[0.6742020087010887, 0.3257979912989113]","[0.6, 0.4]",0.0,"{""datlaaaaaaa_0dbe42c8_b07b_4785"": -41.00449390411374, ""nbninh_a1f78795_1b61_4923_9235"": -62.66968555450436}",nbninh_a1f78795_1b61_4923_9235,continuous_primal_dual_psd,4,39.34608435494848,39.34608435494848,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,1,-9.91597771644586,9.91597771644586,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
dare_linear,pair,duyphu_7aba420b_74ac_4209_b514+chauhoang_4909ad74_a335_4972_9,68.9500088215009,44.95263404846188,0,"[0.20000000000006052, 0.7999999999999394]","[0.6, 0.4]",10.485851764678957,"{""chauhoang_4909ad74_a335_4972_9"": -17.505064678192106, ""duyphu_7aba420b_74ac_4209_b514"": -44.95263404846188}",duyphu_7aba420b_74ac_4209_b514,continuous_primal_dual_psd,4,68.9500088215009,68.9500088215009,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,1,-536.4589393138884,536.4589393138884,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
dare_linear,pair,laquythang_8444c3be_8779_4769+duyphu_4909ad74_a335_4972_9ed8,69.46318395137786,62.0250374794006,0,"[0.2, 0.8]","[0.2, 0.8]",0.0,"{""duyphu_4909ad74_a335_4972_9ed8"": -62.0250374794006, ""laquythang_8444c3be_8779_4769"": -39.76249999999997}",duyphu_4909ad74_a335_4972_9ed8,continuous_primal_dual_psd,4,69.46318395137786,69.46318395137786,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,1,-697.9165971279144,697.9165971279144,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
dare_linear,pair,nbninh_c4ae10ba_efe4_401e_8dd7+nblinh63_0eb73af3_0631_437a_ad,0.2562551297204551,2.994588088989225,0,"[0.8, 0.19999999999999996]","[0.8, 0.2]",0.0,"{""nblinh63_0eb73af3_0631_437a_ad"": 13.401850986480746, ""nbninh_c4ae10ba_efe4_401e_8dd7"": -2.994588088989225}",nbninh_c4ae10ba_efe4_401e_8dd7,continuous_primal_dual_psd,4,0.2562551297204551,0.2562551297204551,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,1,-5.468762572844263,5.468762572844263,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
dare_linear,pair,nbninh_0d8b128b_8753_46c3_b80f+thaffggg_8c87f3d3_d4bb_475a_a8,54.19621057510489,16.173484992980924,0,"[0.2000000000000046, 0.7999999999999954]","[0.8, 0.2]",31.78759813308716,"{""nbninh_0d8b128b_8753_46c3_b80f"": 4.195842075347933, ""thaffggg_8c87f3d3_d4bb_475a_a8"": -16.173484992980924}",thaffggg_8c87f3d3_d4bb_475a_a8,continuous_primal_dual_psd,4,54.19621057510489,54.19621057510489,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,1,-541.6667461395266,541.6667461395266,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
dare_linear,pair,nhoxinh_9214fc0d_4490_4bdd_9ff+mrhunghd_9e58333c_df22_4a00_9c,48.21010365437741,40.933826637268034,0,"[0.5143395848340208, 0.48566041516597924]","[0.6, 0.4]",0.0,"{""mrhunghd_9e58333c_df22_4a00_9c"": -31.741681766509977, ""nhoxinh_9214fc0d_4490_4bdd_9ff"": -40.933826637268034}",nhoxinh_9214fc0d_4490_4bdd_9ff,continuous_primal_dual_psd,4,48.21010365437741,48.21010365437741,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,345.05188465118414,0.0,,qwen25_real_m50_balanced_random_seed20260503_dare_linear_e8_dare_linear
