method,query_kind,adapters,predicted_score,heldout_score,feasible,predicted_weights,heldout_weights,coefficient_regret,margins,obstructing_tasks,certificate_type,grid_points,primal_upper,dual_lower,certificate_gap,dual_weights,certificate_message,psd_projected,quadratic_min_eigenvalue,quadratic_psd_adjustment,unprojected_jet_max,error
linear,pair,lhong4759_f68c5c87_934d_4399_b+adammandic87_3d7a58a6_4380_4e3,-0.2510310367562001,0.8623029747801226,0,"[0.27982688288092955, 0.7201731171190704]","[0.2, 0.8]",0.0,"{""adammandic87_3d7a58a6_4380_4e3"": -0.8623029747801226, ""lhong4759_f68c5c87_934d_4399_b"": 4.508337306976351}",adammandic87_3d7a58a6_4380_4e3,continuous_primal_dual_psd,4,-0.2510310367562001,-0.2510310367562001,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,54.68211191746398,0.0,-0.2510310367562003,
linear,pair,lhong4759_f68c5c87_934d_4399_b+versil91_01a5620a_fb5f_4bab_94,2.6033181868856867,7.05416507720944,0,"[0.20000000000000254, 0.7999999999999975]","[0.2, 0.8]",0.0,"{""lhong4759_f68c5c87_934d_4399_b"": -7.05416507720944, ""versil91_01a5620a_fb5f_4bab_94"": 0.08571720513022313}",lhong4759_f68c5c87_934d_4399_b,continuous_primal_dual_psd,4,2.6033181868856867,2.6033181868856867,0.0,"[1.1102230246251568e-16, 0.9999999999999999]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,1,-33.54460000991828,33.54460000991828,2.6033181868856863,
linear,pair,lhong4759_f68c5c87_934d_4399_b+taronklm_trained_model,-28.915533462414402,-0.46351794531216817,1,"[0.5109819381769668, 0.4890180618230332]","[0.2, 0.8]",0.6905716550300955,"{""lhong4759_f68c5c87_934d_4399_b"": 70.91457538604739, ""taronklm_trained_model"": 0.46351794531216817}",taronklm_trained_model,continuous_primal_dual_psd,4,-28.915533462414402,-28.915533462414402,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,872.3774552345277,0.0,-28.915533462414416,
linear,pair,adammandic87_3d7a58a6_4380_4e3+versil91_01a5620a_fb5f_4bab_94,-1.1915601867908285,-1.1036651716421992,1,"[0.6346712875863906, 0.3653287124136094]","[0.8, 0.2]",0.3141363844574576,"{""adammandic87_3d7a58a6_4380_4e3"": 1.1036651716421992, ""versil91_01a5620a_fb5f_4bab_94"": 2.680955365244228}",adammandic87_3d7a58a6_4380_4e3,continuous_primal_dual_psd,4,-1.1915601867908285,-1.1915601867908292,6.661338147750939e-16,"[0.19577692859578516, 0.8042230714042149]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,13.3456926808828,0.0,-1.191560186790829,
linear,pair,adammandic87_3d7a58a6_4380_4e3+taronklm_trained_model,-6.953776203240718,-0.7492692772786537,1,"[0.7135913561542387, 0.28640864384576126]","[0.6, 0.4]",0.4855972011110679,"{""adammandic87_3d7a58a6_4380_4e3"": 24.225437714820504, ""taronklm_trained_model"": 0.7492692772786537}",taronklm_trained_model,continuous_primal_dual_psd,4,-6.953776203240718,-6.953776203240718,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,99.87126117398049,0.0,-6.953776203240711,
linear,pair,adammandic87_3d7a58a6_4380_4e3+versil91_e9f26c47_9b78_4e3f_81,-1.5757499361975809,-0.8294147346312203,1,"[0.7697780729284381, 0.23022192707156186]","[0.8, 0.2]",0.0,"{""adammandic87_3d7a58a6_4380_4e3"": 1.875921647976105, ""versil91_e9f26c47_9b78_4e3f_81"": 0.8294147346312203}",versil91_e9f26c47_9b78_4e3f_81,continuous_primal_dual_psd,4,-1.5757499361975809,-1.5757499361975809,0.0,"[0.363750582197191, 0.6362494178028091]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,5.059526782993561,0.0,-1.5757499361975806,
linear,pair,versil91_01a5620a_fb5f_4bab_94+taronklm_trained_model,-25.120585495450797,-0.686443414370754,1,"[0.40912387653427834, 0.5908761234657216]","[0.4, 0.6]",0.0,"{""taronklm_trained_model"": 0.686443414370754, ""versil91_01a5620a_fb5f_4bab_94"": 2.9666712079803514}",taronklm_trained_model,continuous_primal_dual_psd,4,-25.120585495450797,-25.120585546668433,5.121763635429488e-08,"[0.9646708552298224, 0.035329144770177574]",primal=Positive directional derivative for linesearch; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,116.50833054623317,0.0,-25.12058549545079,
linear,pair,versil91_01a5620a_fb5f_4bab_94+versil91_e9f26c47_9b78_4e3f_81,0.002628475793749141,-0.7049802084174712,1,"[0.5421937105539628, 0.4578062894460372]","[0.6, 0.4]",0.0,"{""versil91_01a5620a_fb5f_4bab_94"": 0.990480407410326, ""versil91_e9f26c47_9b78_4e3f_81"": 0.7049802084174712}",versil91_e9f26c47_9b78_4e3f_81,continuous_primal_dual_psd,4,0.002628475793749141,0.002628475793749141,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,2.306608203493802,0.0,0.002628475793749141,
linear,pair,versil91_01a5620a_fb5f_4bab_94+versil91_8444c3be_8779_4769_a0,0.52999661574026,-0.25238160114004327,1,"[0.6522270943393672, 0.3477729056606328]","[0.8, 0.2]",0.28043764213409517,"{""versil91_01a5620a_fb5f_4bab_94"": 0.25238160114004327, ""versil91_8444c3be_8779_4769_a0"": 1.1631186872426709}",versil91_01a5620a_fb5f_4bab_94,continuous_primal_dual_psd,4,0.52999661574026,0.52999661574026,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,9.293537387506872,0.0,0.5299966157402602,
linear,pair,taronklm_trained_model+versil91_e9f26c47_9b78_4e3f_81,-17.163678997181307,-0.7528591359762543,1,"[0.5437910308678704, 0.4562089691321296]","[0.6, 0.4]",0.0,"{""taronklm_trained_model"": 0.7528591359762543, ""versil91_e9f26c47_9b78_4e3f_81"": 3.055664835608682}",taronklm_trained_model,continuous_primal_dual_psd,4,-17.163678997181307,-17.163678997181307,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,122.47003366919272,0.0,-17.163678997181307,
