method,query_kind,adapters,predicted_score,heldout_score,feasible,predicted_weights,heldout_weights,coefficient_regret,margins,obstructing_tasks,certificate_type,grid_points,primal_upper,dual_lower,certificate_gap,dual_weights,certificate_message,psd_projected,quadratic_min_eigenvalue,quadratic_psd_adjustment,unprojected_jet_max,error
linear,pair,lhong4759_f68c5c87_934d_4399_b+tuanna08go_6af2bb68_a65f_4331,2.5115478754043226,9.890714359283415,0,"[0.2, 0.8]","[0.2, 0.8]",0.0,"{""lhong4759_f68c5c87_934d_4399_b"": -9.890714359283415, ""tuanna08go_6af2bb68_a65f_4331"": -0.45555504692925475}",lhong4759_f68c5c87_934d_4399_b,continuous_primal_dual_psd,4,2.5115478754043226,2.5115478754043226,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,1,-40.30078649520876,40.30078649520876,2.5115478754043226,
linear,pair,versil91_e9f26c47_9b78_4e3f_81+cunghoctienganh_b7496e73_1762,0.04339619653855742,0.16154198281090001,0,"[0.8, 0.19999999999999996]","[0.8, 0.2]",0.0,"{""cunghoctienganh_b7496e73_1762"": 1.2696950912475913, ""versil91_e9f26c47_9b78_4e3f_81"": -0.16154198281090001}",versil91_e9f26c47_9b78_4e3f_81,continuous_primal_dual_psd,4,0.04339619653855742,0.04339619653855742,0.0,"[1.0, 0.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,34.433884771903166,0.0,0.043396196538559195,
linear,pair,chauhoang_2aa4f343_5524_f86e_b+mrhungddddh_911f6275_22fd_4f41,29.049274853985114,32.26250715255734,0,"[0.23631663227502586, 0.7636833677249741]","[0.6, 0.4]",18.020832538604736,"{""chauhoang_2aa4f343_5524_f86e_b"": -25.772109699249235, ""mrhungddddh_911f6275_22fd_4f41"": -32.26250715255734}",mrhungddddh_911f6275_22fd_4f41,continuous_primal_dual_psd,4,29.049274853985114,29.049274853985118,0.0,"[0.9999999999999998, 3.3306690738754696e-16]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,64.5214319229126,0.0,29.049274853985114,
linear,pair,versil91_01a5620a_fb5f_4bab_94+mrhungddddh_9b1deaac_4565_48f2,-0.7152479171753896,2.937726176115802,0,"[0.7999999999999993, 0.20000000000000073]","[0.8, 0.2]",0.0,"{""mrhungddddh_9b1deaac_4565_48f2"": 4.035577106475863, ""versil91_01a5620a_fb5f_4bab_94"": -2.937726176115802}",versil91_01a5620a_fb5f_4bab_94,continuous_primal_dual_psd,4,-0.7152479171753896,-0.7152479171753896,0.0,"[2.7755575615628914e-17, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,80.06781417215676,0.0,-0.7152479171753896,
linear,pair,tuanna08go_c1cf0152_7ae6_43b6+phungkhaccuong_a992b7f5_9d18_c,4.722594690322849,2.438059520721403,0,"[0.8, 0.19999999999999996]","[0.8, 0.2]",0.0,"{""phungkhaccuong_a992b7f5_9d18_c"": -2.1583468437194497, ""tuanna08go_c1cf0152_7ae6_43b6"": -2.438059520721403}",tuanna08go_c1cf0152_7ae6_43b6,continuous_primal_dual_psd,4,4.722594690322849,4.722594690322849,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,16.926974058151224,0.0,4.72259469032285,
linear,pair,thaffggg_8a78a9b2_d3fa_4615_b8+cunghoctienganh_c1cf0152_7ae6,9.346034598350473,4.762497615814176,0,"[0.2, 0.8]","[0.2, 0.8]",0.0,"{""cunghoctienganh_c1cf0152_7ae6"": -0.5958349227904947, ""thaffggg_8a78a9b2_d3fa_4615_b8"": -4.762497615814176}",thaffggg_8a78a9b2_d3fa_4615_b8,continuous_primal_dual_psd,4,9.346034598350473,9.346034598350473,0.0,"[1.3877787807814457e-16, 0.9999999999999999]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,224.69595074653597,0.0,9.346034598350474,
linear,pair,nhoxinh_0c66c9c5_5cc2_46a8_9db+mrhunghddddd_d692685b_fdb4_477,66.70961568222361,55.491676998138395,0,"[0.2641859977109149, 0.7358140022890851]","[0.6, 0.4]",10.30448675155639,"{""mrhunghddddd_d692685b_fdb4_477"": -55.491676998138395, ""nhoxinh_0c66c9c5_5cc2_46a8_9db"": -54.474058818817106}",mrhunghddddd_d692685b_fdb4_477,continuous_primal_dual_psd,4,66.70961568222361,66.70961568222346,1.5631940186722204e-13,"[0.18508284697804314, 0.8149171530219569]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,21.90738916397062,0.0,66.70961568222361,
linear,pair,nhung02_db2c9545_4607_487b_9cc+adammandic87_f28f18cf_4abb_4db,30.569797825813247,15.785232257842985,0,"[0.2, 0.8]","[0.2, 0.8]",0.0,"{""adammandic87_f28f18cf_4abb_4db"": -4.142609310150114, ""nhung02_db2c9545_4607_487b_9cc"": -15.785232257842985}",nhung02_db2c9545_4607_487b_9cc,continuous_primal_dual_psd,4,30.569797825813247,30.569797825813247,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,11.71857118606562,0.0,30.56979782581325,
linear,pair,nbninh_a1f78795_1b61_4923_9235+datlaaaaaaa_0dbe42c8_b07b_4785,54.41024489402773,78.17157812118526,0,"[0.8, 0.19999999999999996]","[0.6, 0.4]",7.613623142242432,"{""datlaaaaaaa_0dbe42c8_b07b_4785"": -51.9820482254028, ""nbninh_a1f78795_1b61_4923_9235"": -78.17157812118526}",nbninh_a1f78795_1b61_4923_9235,continuous_primal_dual_psd,4,54.41024489402773,54.41024489402773,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,38.161128759384184,0.0,54.41024489402773,
linear,pair,duyphu_7aba420b_74ac_4209_b514+chauhoang_4909ad74_a335_4972_9,45.12145917305184,43.87454099655148,0,"[0.6865345198733336, 0.3134654801266664]","[0.4, 0.6]",3.4127116203308105,"{""chauhoang_4909ad74_a335_4972_9"": -11.777368259429899, ""duyphu_7aba420b_74ac_4209_b514"": -43.87454099655148}",duyphu_7aba420b_74ac_4209_b514,continuous_primal_dual_psd,4,45.12145917305184,45.12145917305184,0.0,"[0.0, 1.0]",primal=Optimization terminated successfully; dual=outer=Optimization terminated successfully; inner=Optimization terminated successfully,0,108.07245969772316,0.0,45.121459173051846,
