case_id	threshold	seed	status	started_utc	finished_utc
tau0p55_seed20260428	0.55	20260428	completed	2026-04-26T13:13:37Z	2026-04-26T13:41:18Z
tau0p55_seed20260429	0.55	20260429	completed	2026-04-26T13:41:18Z	2026-04-26T14:08:39Z
tau0p55_seed20260430	0.55	20260430	completed	2026-04-26T14:08:39Z	2026-04-26T14:36:14Z
tau0p55_seed20260501	0.55	20260501	completed	2026-04-26T14:36:14Z	2026-04-26T15:03:47Z
tau0p65_seed20260428	0.65	20260428	completed	2026-04-26T15:03:47Z	2026-04-26T15:31:33Z
tau0p65_seed20260429	0.65	20260429	completed	2026-04-26T15:31:33Z	2026-04-26T15:59:01Z
tau0p65_seed20260430	0.65	20260430	completed	2026-04-26T15:59:01Z	2026-04-26T16:26:31Z
tau0p65_seed20260501	0.65	20260501	completed	2026-04-26T16:26:31Z	2026-04-26T16:54:09Z
tau0p70_seed20260428	0.70	20260428	completed	2026-04-26T16:54:09Z	2026-04-26T17:21:52Z
tau0p70_seed20260429	0.70	20260429	completed	2026-04-26T17:21:52Z	2026-04-26T17:49:35Z
tau0p70_seed20260430	0.70	20260430	completed	2026-04-26T17:49:35Z	2026-04-26T18:17:02Z
tau0p70_seed20260501	0.70	20260501	completed	2026-04-26T18:17:02Z	2026-04-26T18:44:35Z
tau0p75_seed20260428	0.75	20260428	completed	2026-04-26T18:44:35Z	2026-04-26T19:12:10Z
tau0p75_seed20260429	0.75	20260429	completed	2026-04-26T19:12:10Z	2026-04-26T19:39:50Z
tau0p75_seed20260430	0.75	20260430	completed	2026-04-26T19:39:50Z	2026-04-26T20:07:27Z
tau0p75_seed20260501	0.75	20260501	completed	2026-04-26T20:07:27Z	2026-04-26T20:35:14Z
tau0p85_seed20260428	0.85	20260428	completed	2026-04-26T20:35:14Z	2026-04-26T21:02:50Z
tau0p85_seed20260429	0.85	20260429	completed	2026-04-26T21:02:50Z	2026-04-26T21:30:28Z
tau0p85_seed20260430	0.85	20260430	completed	2026-04-26T21:30:28Z	2026-04-26T21:57:53Z
tau0p85_seed20260501	0.85	20260501	completed	2026-04-26T21:57:53Z	2026-04-26T22:25:34Z
