method,query_kind,adapters,predicted_score,heldout_score,feasible,predicted_weights,heldout_weights,coefficient_regret,margins,obstructing_tasks,error
linear,pair,conversation+colorist,22.066502642631512,21.19012184143063,0,"[0.6, 0.4]","[0.6, 0.4]",0.0,"{""colorist"": -21.19012184143063, ""conversation"": -7.484828412663248}",colorist,
linear,pair,conversation+flex,45.04264898300174,24.264195632934538,0,"[0.6, 0.4]","[0.6, 0.4]",0.0,"{""conversation"": -4.679143581788198, ""flex"": -24.264195632934538}",flex,
linear,pair,conversation+energy,35.64253635406493,16.60381860733029,0,"[0.4, 0.6]","[0.4, 0.6]",0.0,"{""conversation"": -10.273719763939175, ""energy"": -16.60381860733029}",energy,
linear,pair,conversation+physics,55.559915971756,41.422155570983854,0,"[0.8, 0.2]","[0.8, 0.2]",0.0,"{""conversation"": -8.747343494783856, ""physics"": -41.422155570983854}",physics,
linear,pair,conversation+empathy,-0.627162817075686,-1.2112579668916679,1,"[0.4, 0.6]","[0.6, 0.4]",0.08218023634099025,"{""conversation"": 3.8433626357390733, ""empathy"": 1.2112579668916679}",empathy,
linear,pair,conversation+brainstorming,15.202576589584336,6.621483039855924,0,"[0.4, 0.6]","[0.2, 0.8]",2.231717109680176,"{""brainstorming"": -6.621483039855924, ""conversation"": 1.072594453062787}",brainstorming,
linear,pair,conversation+creative,12.351152968406655,15.665486526489225,0,"[0.4, 0.6]","[0.2, 0.8]",0.4777669906616211,"{""conversation"": -2.576441522411838, ""creative"": -15.665486526489225}",creative,
linear,pair,conversation+company,12.90059454441068,21.118787002563444,0,"[0.6, 0.4]","[0.6, 0.4]",0.0,"{""company"": -21.118787002563444, ""conversation"": 7.0557886615284735}",company,
linear,pair,conversation+docker,57.45147116184236,34.30469341278073,0,"[0.6, 0.4]","[0.4, 0.6]",12.385344505310059,"{""conversation"": -12.917519062979665, ""docker"": -34.30469341278073}",docker,
linear,pair,conversation+gsm8k,10.14714844226837,5.885865077606244,0,"[0.8, 0.2]","[0.8, 0.2]",0.0,"{""conversation"": -5.885865077606244, ""gsm8k"": 2.2355764389038413}",conversation,
linear,pair,conversation+textsql,0.2260006689479505,0.8460002938645285,0,"[0.4, 0.6]","[0.6, 0.4]",3.798509814234275,"{""conversation"": 0.753559380463409, ""textsql"": -0.8460002938645285}",textsql,
linear,pair,colorist+flex,55.31986541748047,31.463292312622038,0,"[0.6, 0.4]","[0.6, 0.4]",0.0,"{""colorist"": -9.371593666076627, ""flex"": -31.463292312622038}",flex,
linear,pair,colorist+energy,41.92597098350525,27.093127441406217,0,"[0.4, 0.6]","[0.6, 0.4]",1.8450736999511719,"{""colorist"": -21.296218109130827, ""energy"": -27.093127441406217}",energy,
linear,pair,colorist+physics,73.82202632427219,69.77527446746822,0,"[0.6, 0.4]","[0.6, 0.4]",0.0,"{""colorist"": -40.401414108276335, ""physics"": -69.77527446746822}",physics,
linear,pair,colorist+empathy,8.11670906543728,-0.5256936814463585,1,"[0.4, 0.6]","[0.4, 0.6]",0.0,"{""colorist"": 3.5786836624145835, ""empathy"": 0.5256936814463585}",empathy,
linear,pair,colorist+brainstorming,31.90855569839475,16.14246673583981,0,"[0.2, 0.8]","[0.2, 0.8]",0.0,"{""brainstorming"": -16.000917625427213, ""colorist"": -16.14246673583981}",colorist,
linear,pair,colorist+creative,20.178535056114175,10.290291976928678,0,"[0.4, 0.6]","[0.4, 0.6]",0.0,"{""colorist"": -10.290291976928678, ""creative"": -9.714725685119596}",colorist,
linear,pair,colorist+company,17.72552974224088,20.61847753524777,0,"[0.6, 0.4]","[0.6, 0.4]",0.0,"{""colorist"": -6.106880378723112, ""company"": -20.61847753524777}",company,
linear,pair,colorist+docker,52.044355344772356,45.18623657226559,0,"[0.4, 0.6]","[0.6, 0.4]",1.7590999603271484,"{""colorist"": -36.185410690307585, ""docker"": -45.18623657226559}",docker,
linear,pair,colorist+gsm8k,24.75775368213649,25.8867055892944,0,"[0.6, 0.4]","[0.6, 0.4]",0.0,"{""colorist"": -25.8867055892944, ""gsm8k"": 12.266299057006869}",colorist,
linear,pair,colorist+textsql,0.29801260709599464,0.5948812484740884,0,"[0.4, 0.6]","[0.4, 0.6]",0.0,"{""colorist"": -0.5948812484740884, ""textsql"": -0.020779020871378295}",colorist,
linear,pair,flex+energy,65.39922065734864,52.28090591430661,0,"[0.2, 0.8]","[0.2, 0.8]",0.0,"{""energy"": -49.25488538742062, ""flex"": -52.28090591430661}",flex,
linear,pair,flex+physics,69.7406161546707,55.70198602676388,0,"[0.4, 0.6]","[0.4, 0.6]",0.0,"{""flex"": -52.831974697113004, ""physics"": -55.70198602676388}",physics,
linear,pair,flex+empathy,36.00884146690372,15.832462978363004,0,"[0.4, 0.6]","[0.2, 0.8]",2.6583075523376465,"{""empathy"": -0.7571461665731619, ""flex"": -15.832462978363004}",flex,
